date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:36:01	459/459	---M--	200	added ('OK')	text/plain	date:Fri,%2014%20Jun%202024%2003:36:01%20GMT	https://www.allegisglobalsolutions.com/robots.txt		(from )
06:36:03	57353/57353	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202024%2003:36:01%20GMT	https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ	D:/elol/www.allegisglobalsolutions.com/indexd1a6.html	(from )
06:36:03	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:03%20GMT	https://www.allegisglobalsolutions.com/en	D:/elol/www.allegisglobalsolutions.com/en	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:03	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:03%20GMT	https://www.allegisglobalsolutions.com/en-gb	D:/elol/www.allegisglobalsolutions.com/en-gb	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:03	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:03%20GMT	https://www.allegisglobalsolutions.com/en-au	D:/elol/www.allegisglobalsolutions.com/en-au.2.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:04	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:04%20GMT	https://www.allegisglobalsolutions.com/	D:/elol/www.allegisglobalsolutions.com/index.html	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:04	21100/21100	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC8B517E123FAA	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	D:/elol/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:08	184311/184311	---MCZ	200	added ('OK')	application/x-javascript	etag:%22315acde981f3919e690e2ab39a0b38fb:1710252619.187613%22	http://assets.adobedtm.com/ceb6519cfb6dd51fbe12d97109d9186eb18810ea/satelliteLib-d64b912e5f0cecaae22b1383cf726ae97139e163.js	D:/elol/assets.adobedtm.com/ceb6519cfb6dd51fbe12d97109d9186eb18810ea/satelliteLib-d64b912e5f0cecaae22b1383cf726ae97139e163.js	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:10	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	http://use.fontawesome.com/releases/v5.6.3/css/all.css	D:/elol/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:10	565475/565475	---MCZ	200	added ('OK')	text/css	etag:W/%220cfeeae7686da1:0%22	https://sc-cms-prod103-cdn-dsb5cvath4adbgd0.z01.azurefd.net/Areas/AGS/css/v-4.4.1712224726/main.css	D:/elol/sc-cms-prod103-cdn-dsb5cvath4adbgd0.z01.azurefd.net/Areas/AGS/css/v-4.4.1712224726/main.css	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:10	2672/2672	---M-Z	200	added ('OK')	text/css	date:Fri,%2014%20Jun%202024%2003:36:09%20GMT	https://use.typekit.net/fzu5xvl.css	D:/elol/use.typekit.net/fzu5xvl.css	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:12	15418/15418	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%220f5f5137686da1:0%22	https://sc-cms-prod103-cdn-dsb5cvath4adbgd0.z01.azurefd.net/Areas/AGS/js/vendor/v-4.4.1712224466/modernizr.2.6.2.min.js	D:/elol/sc-cms-prod103-cdn-dsb5cvath4adbgd0.z01.azurefd.net/Areas/AGS/js/vendor/v-4.4.1712224466/modernizr.2.6.2.min.js	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:12	6002/6002	---M--	200	added ('OK')	image/png	etag:%220f5f5137686da1:0%22	https://www.allegisglobalsolutions.com/Areas/AGS/img/favicon/apple-touch-icon.png	D:/elol/www.allegisglobalsolutions.com/Areas/AGS/img/favicon/apple-touch-icon.png	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:13	1562/1562	---M--	200	added ('OK')	image/png	etag:%220f5f5137686da1:0%22	https://www.allegisglobalsolutions.com/Areas/AGS/img/favicon/favicon-32x32.png	D:/elol/www.allegisglobalsolutions.com/Areas/AGS/img/favicon/favicon-32x32.png	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:14	992/992	---M--	200	added ('OK')	image/png	etag:%220f5f5137686da1:0%22	https://www.allegisglobalsolutions.com/Areas/AGS/img/favicon/favicon-16x16.png	D:/elol/www.allegisglobalsolutions.com/Areas/AGS/img/favicon/favicon-16x16.png	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:15	489/489	---M--	200	added ('OK')	application/manifest+json	etag:%220f5f5137686da1:0%22	https://www.allegisglobalsolutions.com/Areas/AGS/img/favicon/site.webmanifest	D:/elol/www.allegisglobalsolutions.com/Areas/AGS/img/favicon/site.webmanifest	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:16	1552/1552	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220f5f5137686da1:0%22	https://www.allegisglobalsolutions.com/Areas/AGS/img/favicon/safari-pinned-tab.svg	D:/elol/www.allegisglobalsolutions.com/Areas/AGS/img/favicon/safari-pinned-tab.svg	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:17	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%220f5f5137686da1:0%22	https://www.allegisglobalsolutions.com/Areas/AGS/img/favicon/favicon.ico	D:/elol/www.allegisglobalsolutions.com/Areas/AGS/img/favicon/favicon.ico	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:17	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:17%20GMT	https://www.allegisglobalsolutions.com/en/workforce-solutions	D:/elol/www.allegisglobalsolutions.com/en/workforce-solutions	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:17	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:17%20GMT	https://www.allegisglobalsolutions.com/en/workforce-solutions/managed-service-provider	D:/elol/www.allegisglobalsolutions.com/en/workforce-solutions/managed-service-provider	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:18	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:18%20GMT	https://www.allegisglobalsolutions.com/en/workforce-solutions/managed-service-provider/supply-chain-management	D:/elol/www.allegisglobalsolutions.com/en/workforce-solutions/managed-service-provider/supply-chain-management.11.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:18	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:18%20GMT	https://www.allegisglobalsolutions.com/en/workforce-solutions/managed-service-provider/direct-sourcing	D:/elol/www.allegisglobalsolutions.com/en/workforce-solutions/managed-service-provider/direct-sourcing.12.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:18	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:18%20GMT	https://www.allegisglobalsolutions.com/en/workforce-solutions/recruitment-process-outsourcing	D:/elol/www.allegisglobalsolutions.com/en/workforce-solutions/recruitment-process-outsourcing.13.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:19	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:19%20GMT	https://www.allegisglobalsolutions.com/en/workforce-solutions/procurement-solutions	D:/elol/www.allegisglobalsolutions.com/en/workforce-solutions/procurement-solutions.14.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:19	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:19%20GMT	https://www.allegisglobalsolutions.com/en/workforce-solutions/total-talent-management	D:/elol/www.allegisglobalsolutions.com/en/workforce-solutions/total-talent-management.15.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:19	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:19%20GMT	https://www.allegisglobalsolutions.com/en/consulting	D:/elol/www.allegisglobalsolutions.com/en/consulting.16.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
06:36:20	1261/1261	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Jun%202024%2003:36:20%20GMT	https://www.allegisglobalsolutions.com/en/capabilities	D:/elol/www.allegisglobalsolutions.com/en/capabilities.17.delayed	(from https://www.allegisglobalsolutions.com/?fbclid=IwAR2kU5nMIgjRcth_D9HNG19H2sXzjOK6aNOVN6tOoiVoAdeFJI-cNEvspVQ)
